date,BNB,TRX,APT,DOT,ATOM
2022-01-01,1057823342.93822,,,,
2022-01-02,968296943.958042,,,,
2022-01-03,1038746801.9751936,,,,
2022-01-04,1134033867.4123435,,,,
2022-01-05,1084383297.9950175,,,,
2022-01-06,1111342258.8034706,,,,
2022-01-07,958246544.482019,,,,
2022-01-08,892393438.5086282,,,,
2022-01-09,849197420.7641481,,,,
2022-01-10,718507326.4702111,,,,
2022-01-11,954245813.3197172,,,,
2022-01-12,976421519.0117576,,,,
2022-01-13,937781955.5956,,,,
2022-01-14,954440767.6225886,,,,
2022-01-15,979882845.3037236,,,,
2022-01-16,944719397.25674,,,,
2022-01-17,912070438.2191364,,,,
2022-01-18,852492868.0657349,,,,
2022-01-19,937279738.3703592,,,,
2022-01-20,789584258.0422976,,,,
2022-01-21,783639125.719686,,,,
2022-01-22,758191151.3851193,,,,
2022-01-23,756661655.7192717,,,,
2022-01-24,616086784.2971888,,,,
2022-01-25,648456675.0554848,,,,
2022-01-26,679760816.5495121,,,,
2022-01-27,647885178.986605,,,,
2022-01-28,676922456.4395603,,,,
2022-01-29,615561915.0847075,,,,
2022-01-30,544977325.4624066,,,,
2022-01-31,530965144.788544,,,,
2022-02-01,594656977.3907113,,,,
2022-02-02,570952238.5253645,,,,
2022-02-03,557168978.5612898,,,,
2022-02-04,676283036.6918339,,,,
2022-02-05,711008794.2982906,,,,
2022-02-06,751279933.3370397,,,,
2022-02-07,739170561.5267223,,,,
2022-02-08,811781173.5807514,,,,
2022-02-09,798926744.4606413,,,,
2022-02-10,723132454.3566345,,,,
2022-02-11,759269044.6437209,,,,
2022-02-12,768047152.1800836,,,,
2022-02-13,613068432.0742645,,,,
2022-02-14,647475169.2986387,,,,
2022-02-15,712690632.9665629,,,,
2022-02-16,977869349.6958812,,,,
2022-02-17,1007248986.395858,,,,
2022-02-18,767176785.3125778,,,,
2022-02-19,762026900.3579682,,,,
2022-02-20,597142087.0387889,,,,
2022-02-21,602721169.3970453,,,,
2022-02-22,634375262.8557969,,,,
2022-02-23,651577140.4915482,,,,
2022-02-24,648681243.0516833,,,,
2022-02-25,649772197.029614,,,,
2022-02-26,677200043.7320774,,,,
2022-02-27,506774491.5159399,,,,
2022-02-28,535136448.2949031,,,,
2022-03-01,670125052.8555167,,,,
2022-03-02,658011519.8670511,,,,
2022-03-03,577656573.3178633,,,,
2022-03-04,595692896.1569571,,,,
2022-03-05,566135302.7020895,,,,
2022-03-06,516373291.8998752,,,,
2022-03-07,520820398.0465029,,,,
2022-03-08,579647758.0765984,,,,
2022-03-09,562816098.2406255,,,,
2022-03-10,542323789.0143722,,,,
2022-03-11,544116846.4062397,,,,
2022-03-12,522564138.0079291,,,,
2022-03-13,520551194.1633714,,,,
2022-03-14,493909982.3096781,,,,
2022-03-15,550634984.9214257,,,,
2022-03-16,582880333.5242244,,,,
2022-03-17,589735954.9393213,,,,
2022-03-18,648277616.8112545,,,,
2022-03-19,577798697.145446,,,,
2022-03-20,630389914.3244729,,,,
2022-03-21,591205517.6587204,,,,
2022-03-22,699044503.968625,,,,
2022-03-23,707678718.169587,,,,
2022-03-24,686147440.5109403,,,,
2022-03-25,675759198.1296265,,,,
2022-03-26,608471278.6657706,,,,
2022-03-27,583165341.7168754,,,,
2022-03-28,601783592.4740074,,,,
2022-03-29,715911904.8573273,,,,
2022-03-30,688949079.6129799,,,,
2022-03-31,734681961.5130186,,,,
2022-04-01,771454804.7221973,,,,
2022-04-02,747608070.9256254,,,,
2022-04-03,740171210.6753812,,,,
2022-04-04,675453589.6786808,,,,
2022-04-05,758926977.7962158,,,,
2022-04-06,722642770.5816656,,,,
2022-04-07,717149602.0563104,,,,
2022-04-08,688297019.4873602,,,,
2022-04-09,669086766.2066262,,,,
2022-04-10,561770845.0308739,,,,
2022-04-11,521049800.9767348,,,,
2022-04-12,600095651.0057932,,,,
2022-04-13,605420954.4188268,,,,
2022-04-14,600619452.7968675,,,,
2022-04-15,583878016.1223749,,,,
2022-04-16,580187416.9035175,,,,
2022-04-17,527057980.5459372,,,,
2022-04-18,530760205.2147188,,,,
2022-04-19,586347176.7224542,,,,
2022-04-20,609703730.2034404,,,,
2022-04-21,634665128.8413529,,,,
2022-04-22,655366620.3693137,,,,
