date,inflationrate,feerevenue,totalsupply,circulatingsupply,riskreward,stakedtokens,realrewardrate,rewardrate1,marketcap,price
2022-01-01,,,101854154609.94644,69328940658.08644,,20948964319.0,5.155303378186771,7.065378518356565,7747109994.0,0.076022
2022-01-02,,,101853926323.4523,69328712371.59232,,21273023818.0,5.04959803937528,6.957757390153957,7913824014.0,0.077771
2022-01-03,,,101853002601.03056,69327788649.17056,,21014727161.0,5.1335772130212565,7.043279311509662,7842224715.0,0.07699
2022-01-04,,,101851578105.95596,69326364154.09596,,21001768952.0,5.137820962343831,7.047626856698461,7820742053.0,0.076634
2022-01-05,,,101850077221.03636,69324863269.17636,,21000223813.0,5.138301522552613,7.048144289624253,7892813430.0,0.07772
2022-01-06,,,101848631685.69003,69323417733.83005,,20998150122.0,5.138950463317049,7.048832124954756,7257586407.0,0.071272
2022-01-07,,,101847509505.3074,69322295553.4474,,21005925028.0,5.136365556956024,7.046221305985867,6974401226.0,0.0684
2022-01-08,,,101846788186.74773,69321574234.88773,,20989294604.0,5.141837087352186,7.051805756564754,6770384101.0,0.066532
2022-01-09,,,101845347402.6808,69320133450.8208,,20998058833.0,5.138915165108315,7.048857774897957,6788884989.0,0.066767
2022-01-10,,,101842518658.6874,69317304706.82741,,21015943609.0,5.13297997592066,7.042867814619972,6460791582.0,0.063489
2022-01-11,,,101840641916.39883,69315427964.53885,,21024071653.0,5.130263528130308,7.040137213687396,6607899222.0,0.064965
2022-01-12,,,101838525734.12112,69313311782.26112,,21055848350.0,5.119789306851552,7.029512392804772,6920841302.0,0.067951
2022-01-13,,,101833757648.8511,69308543696.99112,,21070709710.0,5.114819209461663,7.02454141638908,6811551484.0,0.066967
2022-01-14,,,101831704524.63129,69306490572.77129,,21078236362.0,5.11232099129173,7.022036313462546,6955459569.0,0.068303
2022-01-15,,,101829981804.86978,69304767853.0098,,21081909287.0,5.111087719929608,7.020812943058391,7003725409.0,0.068678
2022-01-16,,,101828754962.49974,69303541010.63976,,21078344507.0,5.1122347425255565,7.0220038142888725,7107279316.0,0.069886
2022-01-17,,,101826230275.98518,69301016324.1252,,21072306121.0,5.114167347208065,7.024018884005416,7143764102.0,0.070198
2022-01-18,,,101823730199.20483,69298516247.34485,,21101451048.0,5.1045936896289446,7.014318167992832,7000879885.0,0.068803
2022-01-19,,,101821214026.5625,69296000074.70251,,21100464939.0,5.10486930366425,7.01464598248133,7025979037.0,0.069012
2022-01-20,,,101818332729.59056,69293118777.73056,,21129433667.0,5.095370662490573,7.005028787842647,7051919813.0,0.06914
2022-01-21,,,101815696695.8231,69290482743.96312,,21142765953.0,5.090983237573221,7.000611079735368,6148862348.0,0.060733
2022-01-22,,,101812550414.88107,69287336463.02109,,21119390881.0,5.098535065486387,7.008359150181183,5827562711.0,0.05719
2022-01-23,,,101811520376.44136,69286306424.58136,,21111488971.0,5.101093801898249,7.010983705678502,5736661942.0,0.056374
2022-01-24,,,101809546359.5693,69284332407.70932,,21127729302.0,5.095768769857534,7.005598937090478,5594756605.0,0.054959
2022-01-25,,,101807601851.38435,69282387899.52437,,21129378330.0,5.095195941971031,7.0050521768542025,5664549509.0,0.05563
2022-01-26,,,101805502009.46382,69280288057.60384,,20246793872.0,5.395074585051374,7.310419909038418,5827072284.0,0.056642
2022-01-27,,,101804361104.55444,69279147152.69444,,20253562456.0,5.392656160323073,7.307978998733826,5654767513.0,0.055362
2022-01-28,,,101802947013.72926,69277733061.86928,,20273873713.0,5.385442448077127,7.300660793096999,5865185699.0,0.057675
2022-01-29,,,101802077438.32614,69276863486.46616,,20270020619.0,5.386788909961071,7.302048084526391,6082711499.0,0.059826
2022-01-30,,,101801621887.84377,69276407935.98376,,20282841029.0,5.382247790659922,7.297433006854756,5973221517.0,0.058588
2022-01-31,,,101801236091.0556,69276022139.1956,,20284067436.0,5.381808954605472,7.296993453485269,6000652219.0,0.058904
2022-02-01,,,101801183836.59396,69275969884.73396,,20847395885.0,5.188140400895702,7.099806193756841,6149698196.0,0.060336
2022-02-02,,,101800969740.6448,69275755788.7848,,20945072260.0,5.155617054606854,7.06669579457914,6053188142.0,0.05936
