date,ETH,BNB,ADA,SUI,TRX,APT,SOL,AVAX,NEAR,TIA,DOT,ATOM
2022-01-01,118830462.124,168137035.9,33443068671.658413,,69328940658.08644,,309149468.7638812,76937055.0,,,1069889485.61917,285180901.231713
2022-01-02,118830462.124,168137035.9,33443068671.658413,,69328712371.59232,,309284595.4192725,76937055.0,,,1070102523.70642,285247282.552404
2022-01-03,118830462.124,168137035.9,33443068671.658413,,69327788649.17056,,309284040.3120536,76937055.0,,,1070326999.83844,285313892.136259
2022-01-04,118830462.124,168137035.9,33443068671.658413,,69326364154.09596,,309283705.7940691,76937055.0,,,1070866474.52641,285380390.827274
2022-01-05,118830462.124,168137035.9,33443068671.658413,,69324863269.17636,,309419019.4724944,76937055.0,,,1071222792.98431,285448438.121151
2022-01-06,118830462.124,168137035.9,33443068671.658413,,69323417733.83005,,309418533.1200521,76937055.0,,,1071568096.65098,285515521.27648
2022-01-07,118830462.124,168137035.9,33443068671.658413,,69322295553.4474,,311206972.08010215,76937055.0,,,1071812957.36804,285582467.526551
2022-01-08,118830462.124,168137035.9,33443068671.658413,,69321574234.88773,,311342515.55659604,76937055.0,,,1072221058.87592,285651002.632885
2022-01-09,118830462.124,168137035.9,33443068671.658413,,69320133450.8208,,311341965.8453282,76937055.0,,,1072424176.40376,285720281.291596
2022-01-10,118830462.124,168137035.9,33443068671.658413,,69317304706.82741,,311341414.7813784,76937055.0,,,1072639090.61753,285789645.021381
2022-01-11,118830462.124,168137035.9,33443068671.658413,,69315427964.53885,,311642787.9413445,76937055.0,,,1073058165.4925,285857900.729263
2022-01-12,118830462.124,168137035.9,33443068671.658413,,69313311782.26112,,311778396.84952044,76937055.0,,,1073273055.57654,285926391.022813
2022-01-13,118830462.124,168137035.9,33443068671.658413,,69308543696.99112,,311777771.8022568,76937055.0,,,1073506286.69687,285995958.649278
2022-01-14,118830462.124,168137035.9,33443068671.658413,,69306490572.77129,,314011105.25499487,76937055.0,,,1074115609.96374,286061277.979594
2022-01-15,118830462.124,168137035.9,33443068671.658413,,69304767853.0098,,314010466.32406586,76937055.0,,,1074308278.28062,286132411.209321
2022-01-16,118830462.124,168137035.9,33526690003.19809,,69303541010.63976,,314009865.6296391,76937055.0,,,1074342523.0416,286202527.098323
2022-01-17,118830462.124,168137035.9,33526623747.75289,,69301016324.1252,,314152602.1668184,76937055.0,,,1074540755.79943,286273390.34514
2022-01-18,119210502.9365,168137035.9,33526554255.48601,,69298516247.34485,,314152063.4244184,76937055.0,,,1074802557.43836,286344339.321466
2022-01-19,119217406.874,168137035.9,33526477717.72786,,69296000074.70251,,314151575.52227795,76937055.0,,,1074956415.05619,286414536.14722
2022-01-20,119237249.8115,168137035.9,33526395713.349743,,69293118777.73056,,314469261.8947379,76937055.0,,,1075329817.98328,286486042.963017
2022-01-21,119251217.1865,168137035.9,33539949668.57085,,69290482743.96312,,314520149.4042157,76937055.0,,,1075934696.15479,286557676.096706
2022-01-22,119257585.874,168137035.9,33539896113.631657,,69287336463.02109,,314526259.63323647,76937055.0,,,1076372820.81366,286628770.539112
2022-01-23,119271856.874,168137035.9,33539832739.891552,,69286306424.58136,,314691083.71657705,76937055.0,,,1076794381.89654,286698524.618939
2022-01-24,119292168.999,168137035.9,33539771369.58218,,69284332407.70932,,314690466.6753519,76937055.0,,,1077278623.4187,286769300.484778
2022-01-25,119305476.9365,168137035.9,33539703745.972363,,69282387899.52437,,314833012.34525585,76937055.0,,,1077774767.69993,286840707.882792
2022-01-26,119312504.1865,168137035.9,33553118209.09949,,69280288057.60384,,314967628.6864451,76937055.0,,,1078034989.47698,286911354.51508
2022-01-27,119332631.0615,168137035.9,33553065296.960884,,69279147152.69444,,314966993.0811766,76937055.0,,,1078248653.46174,286981715.579253
2022-01-28,119349234.124,168137035.9,33553011306.70266,,69277733061.86928,,314966352.19978297,76937055.0,,,1078489039.56744,287050502.179219
