date,ETH,BNB,ADA,SUI,TRX,APT,SOL,AVAX,NEAR,TIA,DOT,ATOM
2022-01-01,8835524.43030303,18594309.69601931,23707347114.028824,,20948964319.0,,396038677.7333285,227464960.3289905,423614520.9014661,,618653212.8023006,168722589.041416
2022-01-02,8847188.466666667,18597492.30885202,23707347114.028824,,21273023818.0,,394969338.2825146,230108604.6956396,424661669.8040259,,619915761.5546253,169097291.172943
2022-01-03,8858852.503030304,18582430.134224366,23707347114.028824,,21014727161.0,,394969333.10266,230599298.5738632,423389429.25387126,,620506003.6596261,169337539.730639
2022-01-04,8870516.53939394,18585727.932287708,23707347114.028824,,21001768952.0,,394969304.2493395,230833566.7627391,425069111.8999936,,617939125.428825,169469783.045997
2022-01-05,8882180.575757576,18585727.932287708,23707347114.028824,,21000223813.0,,394833679.89885205,230103405.60837907,418043593.62106925,,618576681.4556936,169285896.663118
2022-01-06,8893844.612121211,18585727.932287708,23707347114.028824,,20998150122.0,,394871281.8571336,230917088.1557493,421744904.11963904,,615587014.096642,169350093.581644
2022-01-07,8905508.648484848,18585727.932287708,23707347114.028824,,21005925028.0,,395559881.2924923,234127394.9128161,418943062.92088574,,616087261.6571097,168509245.541276
2022-01-08,8917172.684848486,18585727.932287708,23707347114.028824,,20989294604.0,,395559881.1555195,237155954.36953792,405123962.6929416,,613243365.4145149,168053948.96294
2022-01-09,8928836.72121212,18585727.932287708,23707347114.028824,,20998058833.0,,395165532.8529716,234182038.10295263,391115519.3180136,,613394439.45697,168958054.646858
2022-01-10,8940500.757575758,18585727.932287708,23707347114.028824,,21015943609.0,,395165530.8167409,231136418.25918728,385973580.0285255,,614124133.1270211,168271057.682186
2022-01-11,8951192.790909091,18608579.90896584,23707347114.028824,,21024071653.0,,395165520.7155422,230561809.0528632,378692819.0363201,,615474592.0129654,168746503.279766
2022-01-12,8962856.827272728,18607185.41972982,23707347114.028824,,21055848350.0,,393260924.62611234,236189571.21345016,378650500.0388244,,615645341.1002291,169220130.307062
2022-01-13,8974520.863636363,18607060.1963925,23707347114.028824,,21070709710.0,,393260924.5576259,236362594.1487586,377515335.3124416,,616720430.9289466,169613873.257192
2022-01-14,8981324.884848485,18605596.587623022,23707347114.028824,,21078236362.0,,393260893.5051196,236602274.8263801,374461452.43304354,,617368263.6384274,165887089.09441
2022-01-15,8989100.909090908,19418383.522874203,23707347114.028824,,21081909287.0,,394318756.145335,237227671.0319975,372504438.6698684,,618157688.5516877,165861527.723523
2022-01-16,8999792.942424243,19495971.984999582,23541185403.67211,,21078344507.0,,394318750.8216598,237291947.19230267,372504438.6698684,,618157688.5516877,169688791.809045
2022-01-17,9011456.97878788,19495259.76366008,23541965323.43996,,21072306121.0,,393698968.57527024,236667195.5190521,372504438.6698684,,617940122.8342346,177910254.596045
2022-01-18,9024408.368421054,19544375.981441963,23533397322.374943,,21101451048.0,,393698968.522764,237459708.7894613,372504438.6698684,,619019893.5964625,178127636.811484
2022-01-19,9039162.05263158,19552352.25950355,23559625794.080536,,21100464939.0,,393698963.16941,237599352.37651703,376113364.0636994,,616760287.8888637,178267262.649582
2022-01-20,9059625.42857143,19589952.282127623,23574398133.27562,,21129433667.0,,392935105.5893757,237609324.43293363,377499986.8967162,,617257372.1505167,178197675.711269
2022-01-21,9069513.636363637,19618631.34005139,23590279720.488075,,21142765953.0,,392935105.5300208,237439457.171418,376182695.2345623,,615845189.6419035,178199812.608286
2022-01-22,9076048.923076924,19655262.528661,23567115140.072563,,21119390881.0,,392935100.2200414,237612826.1591268,361010793.243125,,616500344.8907763,178468982.620834
2022-01-23,9100767.833333334,18918355.03439268,23549821560.68688,,21111488971.0,,389388870.5981196,237705309.12209463,377922988.7202436,,616755511.9840593,178315592.951693
2022-01-24,9120277.0,18903280.49162047,23540097956.66057,,21127729302.0,,389388870.497673,237793789.80136856,383278772.0036774,,617152247.0072379,178214434.077962
2022-01-25,9150155.0,18902679.53808832,23555317591.7213,,21129378330.0,,389388870.32873976,238260329.09994903,384021896.1360868,,617013316.5613184,178479587.823071
2022-01-26,9159110.777777778,18919788.72772023,23557937363.91836,,20246793872.0,,386144402.3510818,238229925.68475223,382917903.08863467,,616795874.5137157,178474172.478757
2022-01-27,9182976.333333334,18938271.14628737,23548198255.36047,,20253562456.0,,386144397.01370686,238093455.5194421,383105017.629859,,615838714.3702008,178314256.275882
2022-01-28,9196790.0,18972417.13373538,23534119018.742268,,20273873713.0,,386144396.98402935,238176232.6798976,380479458.6614533,,616563929.9952587,178198873.750973
2022-01-29,9207512.76470588,18984541.67709133,23532989631.396248,,20270020619.0,,386489447.1327501,238209036.3424148,380576116.9979858,,612347001.4169302,178678456.150782
2022-01-30,9221232.42857143,18998569.041180484,23540614194.50397,,20282841029.0,,386544114.0742784,238156782.16640863,381122707.963138,,612204162.5107177,178668978.193868
2022-01-31,9225365.909090908,18990417.17289013,23543061313.396152,,20284067436.0,,386647177.772303,238332153.8822856,381514561.93387145,,607363195.4662677,178989734.683896
2022-02-01,9233355.944444444,19000749.975992832,23551016048.423466,,20847395885.0,,385676825.3024003,239809072.71441573,381330463.6898817,,618717099.3240528,179618749.416585
2022-02-02,9247097.125,18992910.92659987,23545754991.843925,,20945072260.0,,385676819.8326201,239127654.04574007,382770448.79726994,,618197565.5670645,180586334.369108
2022-02-03,9247889.875,19008978.60883748,23532676468.56714,,20980835404.0,,385676819.7298908,241797759.49870607,382861692.69636136,,622474228.0594375,181067321.368407
2022-02-04,9257154.916666666,18883678.545656502,23535738910.755085,,21041116388.0,,384100757.5200651,242557706.96569407,383127944.91302216,,624999322.7249409,181191410.122335
2022-02-05,9268114.416666666,18891167.916570183,23539646700.515755,,21042079357.0,,384100673.2931037,255012678.22190687,383647161.3622692,,624764273.3887637,181235132.02631
2022-02-06,9280784.714285716,18917872.46501634,23538162326.140503,,21494825119.0,,384100751.86993873,254840080.2759052,384583900.3610705,,619923904.9796807,181228558.588413
2022-02-07,9298600.285714284,18960388.720898066,23534056935.898243,,21611965312.0,,385197409.7995516,254732397.64571184,383898333.0508051,,620072057.2007062,181525158.505156
2022-02-08,9312230.0,18961349.25397162,23529660761.46443,,21635790451.0,,385197197.0029582,254559203.755235,387531710.430934,,614195670.9354092,182155255.959794
2022-02-09,9317841.625,18969147.45937133,23521770742.986088,,21625420344.0,,384977176.0208546,256734917.79526323,387978990.39553833,,614128980.1429404,182627537.101317
2022-02-10,9335541.0,18986330.089158647,23516298152.632347,,21588264639.0,,384976112.3979645,256830868.88071424,386764354.1337684,,615982238.3131952,182853692.079697
2022-02-11,9348406.4,18989439.420843724,23503859922.4623,,21621582081.0,,384976112.3431755,256728154.975312,387262260.8002292,,614595225.3246619,182984769.534095
2022-02-12,9365141.0,18987708.16211932,23496989399.84754,,21619433071.0,,385702944.1103311,256739191.51163515,387977583.3098798,,614392555.7218808,183148658.250653
2022-02-13,9375577.785714284,18989489.963068027,23484705011.837223,,21619433071.0,,385702938.3597555,238584351.43250576,388698974.12568176,,613899744.772152,183216150.806214
2022-02-14,9384022.0,18990814.74909669,23486455863.38806,,21619433071.0,,385702938.3277952,238787072.04230097,388843917.1832784,,613275294.2944368,183706522.229654
2022-02-15,9405839.6,18978557.79944487,23481588211.679348,,21619433071.0,,385702938.275289,238648273.03164813,389398138.02698505,,616995314.0731717,183806419.613397
2022-02-16,9424918.0,18978873.50602821,23480668697.70941,,21619433071.0,,385318244.697847,238993238.2186252,389656625.9364623,,615935733.0990918,184072365.261872
2022-02-17,9436750.0,18957369.40144069,23476082857.683044,,21666439965.0,,385318244.63620913,239709650.1712813,389892837.8218388,,615243524.5079801,184461893.937125
2022-02-18,9447382.0,18955751.9523838,23460564641.595093,,21663196555.0,,386565068.3292858,239862072.86101088,390456026.5862913,,614646332.5467876,184426190.007692
2022-02-19,9452331.333333334,18990724.951378115,23455730669.536232,,21676807390.0,,386565062.4942432,239979964.8373399,380492357.0121394,,616791417.2438403,185038122.021036
2022-02-20,9462104.0,18991583.635737203,23447757384.047848,,22122130752.0,,386565062.4544344,239826689.5820968,388800255.5372707,,616349465.0691749,185081840.888216
2022-02-21,9471838.727272728,19004949.122082897,23443403032.5242,,22097576748.0,,387140566.6556542,239520463.1459388,390542009.37124974,,615666973.8033664,185152539.923436
2022-02-22,9479239.454545457,19024082.78433333,23397959860.11404,,22095564881.0,,387140563.69247735,221778339.5254987,388955187.059178,,616230151.7215872,185064982.736394
2022-02-23,9489438.79713604,19041592.71877331,23374318296.14678,,22115097393.0,,387032390.35197705,222251238.9976891,391391792.0356417,,615770938.6614513,185064982.736394
2022-02-24,9509583.584725536,19047233.870617807,23340827759.400738,,22126859099.0,,388558079.2715808,222125402.3978268,390857643.5507939,,616032995.7946174,185064982.736394
2022-02-25,9528178.77326969,19049060.09832451,23322276085.50508,,22159880124.0,,388558073.2881526,222028233.1251433,391212219.5477296,,632594631.9641527,185064982.736394
2022-02-26,9546773.961813845,19056551.81928607,23317394099.92911,,22155908480.0,,388558073.2287977,221821223.9386657,391194849.23766464,,638455322.0659667,185064982.736394
2022-02-27,9565369.150357995,19061321.761907745,23310144174.279488,,22142866905.0,,388997203.1263743,221836108.6122388,393400163.1464825,,636986924.6886501,185064982.736394
2022-02-28,9583964.338902147,19064290.66721748,23312004451.886784,,22117259030.0,,388997204.0715851,218730782.79202628,393539743.95019895,,635605016.8516133,185064982.736394
2022-03-01,9602559.5274463,19076076.893228423,23402645633.317715,,22054822450.0,,388997198.0767424,215816647.55217105,416779817.8756162,,637421315.9656028,184525810.172563
2022-03-02,9621154.715990454,18404442.96207315,23398719160.706383,,22056954327.0,,382484098.4141034,219246611.8922867,417019333.601818,,627191218.4788959,184122932.54678
2022-03-03,9641299.503579952,18354474.92170054,23203259133.801388,,22041818250.0,,382484098.3547485,213090153.66812,416633239.8466216,,627162175.3355539,184454346.311285
2022-03-04,9659894.692124104,18353155.38647242,23202416435.298286,,22044321400.0,,382489805.00944793,214630351.3238929,417939552.3689308,,627225798.0178038,184486935.65285
2022-03-05,9678489.880668258,18356233.33247057,23226259490.787304,,22053753609.0,,384988060.3678175,214914019.1503791,419368757.67741495,,628655907.0132003,184649259.523536
2022-03-06,9697085.06921241,18355037.927757576,23211240530.07904,,22061412722.0,,385015096.34403664,214936516.8364791,419375005.8136021,,629694553.0724006,184782801.549993
2022-03-07,9715680.257756565,18354371.448785663,23252615152.44548,,22600108266.0,,385015096.28924745,214806125.7984613,419449673.315454,,629715203.4191576,184887391.189068
2022-03-08,9734275.446300715,18353755.731851835,23318320347.570374,,22602875562.0,,384477117.9028993,202963882.2127971,416014074.24319845,,630990284.0182455,185041012.454873
2022-03-09,9752870.63484487,18356206.75792314,23317466013.61019,,23955945417.0,,384477111.8783797,201038660.2545249,418444423.95186967,,633667397.0978241,184921571.225302
2022-03-10,9771465.823389022,18338313.19053702,23259639988.534176,,23991696428.0,,384477111.8281564,202805598.6224844,417346216.98587096,,634249660.7372094,185117260.885164
2022-03-11,9790061.011933174,18350884.794469137,23237974795.82276,,23997257659.0,,384277255.0016245,202641609.2738108,419868269.85999554,,624837107.0293505,185457248.147058
2022-03-12,9808656.200477326,18352730.513989974,23226826822.663746,,24007878297.0,,384277254.9696644,202979951.73758963,419711685.5251239,,625324483.4517617,185501511.57847
2022-03-13,9827251.38902148,18350988.74344052,23214800577.251728,,23999654473.0,,384277248.8926381,203196999.5243336,421325280.8894804,,626522789.6102859,185429511.056009
2022-03-14,9845846.577565633,18334975.37260621,23202752330.17107,,23991618164.0,,385651552.6962399,203194502.9342958,421573015.1552005,,625941999.031209,184635088.452056
2022-03-15,9864441.766109783,18338893.23762575,23195877129.162422,,24000635683.0,,385651546.5438784,203317002.2104755,417791400.6531842,,625765647.1664165,185487553.392627
2022-03-16,9883036.954653936,18338129.13519,23194678933.922623,,23991819189.0,,385651546.50278646,203570805.29023945,422395148.5131479,,624178970.425282,184902597.288048
2022-03-17,9901632.143198092,18339199.175408963,23188715982.52844,,23996807712.0,,388467712.8508937,203893545.8277833,419971242.0119506,,624836274.1840223,184724055.655064
2022-03-18,9920227.331742244,18309526.235628355,23191205863.67655,,24009441687.0,,388423600.56848335,216885014.8270884,424295851.5740936,,624999736.0469238,185238974.07051
2022-03-19,9938822.520286396,18312532.556336723,23191041261.024902,,24004522750.0,,388467637.87957096,216962026.10560897,426328882.8578975,,621401359.0543157,185174707.40098
2022-03-20,9957417.708830548,18317528.105517548,23181166898.762344,,28500464462.0,,386208772.0179269,217022659.4535177,426558109.69611216,,621497155.8069667,185326033.031252
2022-03-21,9976012.8973747,18325634.53934523,23234801038.275314,,28991286163.0,,386208771.9677037,215426167.1483226,426477099.8748922,,621262128.7218072,185407215.162703
2022-03-22,9994608.085918857,18311292.74816011,24514105213.56394,,29006406657.0,,390661686.344538,220126015.23305205,415567234.21052384,,621751633.2209044,185391408.83436
2022-03-23,10013203.274463007,18301588.902278103,24540272304.572056,,28016975975.0,,390661686.2965976,219375750.31751367,426686446.4393346,,621878553.7950591,185905099.797218
2022-03-24,10031798.46300716,18316243.12676874,24537025434.497883,,27992821643.0,,390654679.8971084,219482135.4234549,427564011.80569386,,622503687.5638552,186031267.321076
2022-03-25,10050393.651551312,18315036.75781166,24534117925.08781,,27995651541.0,,393305783.0590888,220216345.01479664,427550087.5393975,,620763477.2109073,186130776.139817
2022-03-26,10068988.840095466,18310720.499190506,24564258226.16088,,28032891342.0,,393414433.39186186,220303117.9523773,428784408.3006727,,623017890.9319149,186253099.564832
2022-03-27,10087584.028639618,18316641.994449567,24575965385.076675,,28003998127.0,,393414430.2369223,220696827.50296727,427828524.8391998,,624638793.593398,186135721.452451
2022-03-28,10106179.21718377,18313884.619667683,24572865588.37902,,27937827234.0,,396269719.3476267,220460538.9233144,427895661.2330353,,624730314.161445,186306315.127904
2022-03-29,10124774.405727925,18313608.70435968,24571142133.96085,,27953257676.0,,396269719.2585942,220943410.46920544,431310366.61390257,,618863898.2883273,186080567.34281
2022-03-30,10437990.0,18315861.37817698,24573576775.89517,,28036131668.0,,396269719.12618697,221311515.5454825,420910310.6368743,,618939275.2769779,186080567.34281
2022-03-31,10479254.0,18341957.646270853,24579941261.07025,,28050398617.0,,393131545.2698669,221453200.46860188,421467057.6467936,,619082176.2967597,186080567.34281
2022-04-01,10519297.666666666,18356499.13374612,24651398930.14592,,28137765140.0,,393131545.1899663,220506522.7393365,425044843.710661,,618013063.0527699,186080567.34281
2022-04-02,10558730.333333334,18355347.835052542,24640296776.26721,,28134371167.0,,387591147.2617522,217569311.68635103,431037400.8023017,,618357275.8278542,186080567.34281
2022-04-03,10594582.0,18354959.903213263,24637108733.087524,,29694881427.0,,387591140.9701344,217519003.8416673,431213810.55195487,,616294549.5602655,186080567.34281
2022-04-04,10633141.0,18343675.730387144,24642392119.7842,,29675594950.0,,387591140.8605564,267007403.7072086,423156461.662432,,620202395.3192275,186080567.34281
2022-04-05,10670005.0,18342361.02264108,24650511797.596752,,30019127827.0,,384622191.606759,266948618.86995527,433432466.89250326,,620226359.6361343,186080567.34281
2022-04-06,10703606.0,18339705.72065529,24696109813.6118,,30013098372.0,,384504850.56600267,267679303.0400153,433443408.1729378,,619957950.0910248,187513749.357284
2022-04-07,10738326.0,18338269.84728764,24670993678.32537,,30017501833.0,,384622191.48120064,268515105.1531007,437547430.5167659,,620858229.6614009,187350678.442763
2022-04-08,10770518.0,18337036.97247593,24690456939.63005,,30013135258.0,,387234043.5889709,268327390.7116936,437758460.984388,,620650917.1306608,187701991.127922
2022-04-09,10805018.0,18338241.09259282,24684142820.65229,,29991532246.0,,387169795.4879465,268327459.32420608,438588770.31237495,,620662042.2553247,187724807.201624
2022-04-10,10847878.0,18333986.484747395,24680866265.18132,,29968723738.0,,387262093.245479,270145605.1942767,450405649.29032034,,620711374.4299414,187806310.620852
2022-04-11,10887812.666666666,18336568.3774314,24686479783.4383,,29987880683.0,,387258081.9943288,270193521.39003074,450583771.0253376,,620364319.9227259,187879668.707053
2022-04-12,10922278.0,18330259.88367455,24682511876.51897,,29977265315.0,,387258006.9807235,270510241.49532497,450969873.5054295,,620248308.6559297,186007244.550538
2022-04-13,10958742.0,18336030.569197223,24679562815.067955,,29967659360.0,,387256927.7647927,271020069.01974744,450322571.3100188,,619384976.9087456,186479253.660599
2022-04-14,10989291.333333334,18286753.92708421,24682658315.73836,,29928497033.0,,388147164.6354158,271695644.70639944,449842367.571179,,620357698.1346442,180565353.743468
2022-04-15,11026518.0,18414332.160282843,24680516891.669685,,30003307004.0,,388146605.4477675,270482543.17323655,449682220.6243805,,632473153.4389853,181168825.408096
