date,ETH,BNB,ADA,SUI,TRX,APT,SOL,AVAX,NEAR,TIA,DOT,ATOM
2022-01-01,,168137035.9,33865878493.803734,,101854154609.94644,,512420796.6652673,395707586.4722672,1060644044.6672094,,1150838618.4903698,285180901.231713
2022-01-02,,168137035.9,33865878493.803734,,101853926323.4523,,512622596.7361676,395880537.04550666,1060814243.2141644,,1151051656.5257063,285247282.552404
2022-01-03,,168137035.9,33865878493.803734,,101853002601.03056,,512622039.4100465,395889615.1500397,1060899578.0499794,,1151276132.6355584,285313892.136259
2022-01-04,,168137035.9,33865878493.803734,,101851578105.95596,,512621462.41879207,395891398.7912992,1061070978.3991804,,1151854016.1862411,285380390.827274
2022-01-05,,168137035.9,33865878493.803734,,101850077221.03636,,512823209.8317224,396153214.25517774,1061155925.812299,,1152171923.9142835,285448438.121151
2022-01-06,,168137035.9,33865878493.803734,,101848631685.69003,,512822721.3456551,396173402.16756696,1061324663.0904204,,1152517229.512687,285515521.27648
2022-01-07,,168137035.9,33865878493.803734,,101847509505.3074,,512822351.553296,396199856.89670455,1061496196.9072688,,1152762089.5430434,285582467.526551
2022-01-08,,168137035.9,33865878493.803734,,101846788186.74773,,513024109.60654026,396213214.53731126,1061581302.8025054,,1153170191.304916,285651002.632885
2022-01-09,,168137035.9,33865878493.803734,,101845347402.6808,,513023557.4800991,396219546.0836439,1061757736.4802724,,1153373309.280264,285720281.291596
2022-01-10,,168137035.9,33865878493.803734,,101842518658.6874,,513023003.9839937,396435500.4777676,1061925959.3957328,,1153588223.2696002,285789645.021381
2022-01-11,,168137035.9,33865878493.803734,,101840641916.39883,,513224529.9179705,396441966.9043734,1062009400.872722,,1154007298.376047,285857900.729263
2022-01-12,,168137035.9,33865878493.803734,,101838525734.12112,,513223908.4216529,396490320.50848585,1062179481.4785074,,1154222188.4477415,285926391.022813
2022-01-13,,168137035.9,33865878493.803734,,101833757648.8511,,513223280.7043827,396492791.22458565,1062349751.57315,,1154455418.2982926,285995958.649278
2022-01-14,,168137035.9,33865878493.803734,,101831704524.63129,,513424750.30234927,396494189.9446596,1062438457.2156177,,1155064742.8448358,286061277.979594
2022-01-15,,168137035.9,33865878493.803734,,101829981804.86978,,513424108.6526585,396496333.50783175,1062624329.7697164,,1155257410.016593,286132411.209321
2022-01-16,,168137035.9,33988299055.004517,,101828754962.49974,,513423505.4112822,396495117.8561413,1062717322.2887224,,1155291654.959755,286202527.098323
2022-01-17,,168137035.9,33988299055.004517,,101826230275.98518,,513624899.9740225,396490079.59675056,1062797779.0377468,,1155489888.4890318,286273390.34514
2022-01-18,,168137035.9,33988299055.004517,,101823730199.20483,,513624358.946757,396491529.40869486,1062987995.0800236,,1155751690.314164,286344339.321466
2022-01-19,,168137035.9,33988299055.004517,,101821214026.5625,,513623868.9953386,396487466.89752746,1063169121.1235728,,1155905547.956092,286414536.14722
2022-01-20,,168137035.9,33988299055.004517,,101818332729.59056,,513825166.43307406,396488569.20939296,1063258816.2510875,,1156371043.8366349,286486042.963017
2022-01-21,,168137035.9,34007996390.184013,,101815696695.8231,,513824903.66288006,396497894.1548488,1063438732.9845388,,1156883828.0614889,286557676.096706
2022-01-22,,168137035.9,34007996390.184013,,101812550414.88107,,513824680.8981688,396492943.1298602,1063526600.7634556,,1157321952.8362854,286628770.539112
2022-01-23,,168137035.9,34007996390.184013,,101811520376.44136,,514025807.2064874,396973621.6043544,1063705765.0031544,,1157743514.7889397,286698524.618939
2022-01-24,,168137035.9,34007996390.184013,,101809546359.5693,,514025188.5464068,396979685.5782655,1063794275.3561164,,1158227756.022643,286769300.484778
2022-01-25,,168137035.9,34007996390.184013,,101807601851.38435,,514024524.44483,396980780.2901066,1063973524.4870448,,1158724919.0822828,286840707.882792
2022-01-26,,168137035.9,34027415098.89299,,101805502009.46382,,514225524.99674016,396985094.5351408,1064152043.1222388,,1158984122.3298647,286911354.51508
2022-01-27,,168137035.9,34027415098.89299,,101804361104.55444,,514224886.734294,396991250.25931096,1064240909.6291096,,1159197785.3922417,286981715.579253
2022-01-28,,168137035.9,34027415098.89299,,101802947013.72926,,514224243.14905417,397001860.3039337,1064421194.925757,,1159438172.4412427,287050502.179219
2022-01-29,,168137035.9,34027415098.89299,,101802077438.32614,,514425145.1534865,397000826.1489739,1064510844.1220386,,1159672617.403876,287118583.611466
2022-01-30,,168137035.9,34027415098.89299,,101801621887.84377,,514424469.118855,397040923.3128438,1064690202.8122326,,1159871467.4707134,287189502.676251
2022-01-31,,168137035.9,34046772161.177,,101801236091.0556,,514423827.007159,397135039.4221914,1064870468.7206914,,1160350617.7943068,287260507.411513
2022-02-01,,168137035.9,34046772161.177,,101801183836.59396,,514624644.68790346,397150586.5832144,1064958717.8105346,,1160655418.6765008,287330225.741058
2022-02-02,,168137035.9,34046772161.177,,101800969740.6448,,514624051.9748812,397154880.5899902,1065138473.6511782,,1160888775.8726337,287400280.695872
2022-02-03,,168137035.9,34046772161.177,,101800816051.20377,,514623399.83091486,397177779.3337025,1065317538.8248932,,1161102702.6179516,287470273.700391
2022-02-04,,168137035.9,34046772161.177,,101799878576.80406,,514824083.4300211,397187741.4387585,1065406815.4802744,,1161342488.1679597,287541055.162506
2022-02-05,,168137035.9,34066349127.63857,,101799021993.89607,,514823420.456364,397274763.8591809,1065588096.6687124,,1161635036.8215735,287611307.495863
2022-02-06,,168137035.9,34066349127.63857,,101798022894.67488,,515023996.6395024,397275814.53392607,1065675866.3792194,,1161842305.0980425,287682676.551301
2022-02-07,,168137035.9,34066349127.63857,,101796085642.1488,,515023347.3562137,397343808.46734345,1065856857.417064,,1163482207.864986,287752382.795143
2022-02-08,,168137035.9,34066349127.63857,,101794024566.52774,,515022703.86471206,397343537.0935465,1066037049.9338188,,1163678137.5447,287818155.947907
2022-02-09,,168137035.9,34085668605.164387,,101791851007.03674,,515223260.84218025,397429496.989982,1066126820.5193794,,1163959336.3713586,287896747.253921
2022-02-10,,168137035.9,34085668605.164387,,101789716085.731,,515222646.13734525,397420378.4677957,1066306473.511358,,1164284233.5018842,287966945.834522
2022-02-11,,168137035.9,34085668605.164387,,101786923186.18814,,515222031.62506354,397418016.3227636,1066395149.7751808,,1164620515.5967278,288038939.618354
2022-02-12,,168137035.9,34085668605.164387,,101786385923.58836,,515422471.7737361,397420436.173387,1066573739.4566996,,1164678241.3182652,288112362.2145
2022-02-13,,168137035.9,34085668605.164387,,101786385923.58836,,515421846.86727583,397417406.005389,1066751621.018154,,1165016257.6875634,288183502.753249
2022-02-14,,168137035.9,34085668605.164387,,101786385923.58836,,515421212.39778143,397440455.097338,1066841023.6983178,,1165358537.1247349,288255629.991639
2022-02-15,,168137035.9,34105094650.08682,,101786385923.58836,,515621538.6985597,397435772.0845639,1067021285.3915948,,1165674061.1959736,288329005.566948
2022-02-16,,168137035.9,34105094650.08682,,101786385923.58836,,515620912.2879132,397441571.2988808,1067110647.327712,,1165959484.412588,288399462.439547
2022-02-17,,168137035.9,34105094650.08682,,101775346566.8182,,515620292.79484594,397445095.51197886,1067297467.0630524,,1166285941.635043,288470770.668688
2022-02-18,,168137035.9,34105094650.08682,,101773367883.50508,,515820509.2485279,397444274.8497293,1067487434.3181624,,1166618662.4481318,288543383.845634
2022-02-19,,168137035.9,34105094650.08682,,101771522962.25166,,515819902.973266,397439888.4162167,1067583545.0759492,,1166917335.4718146,288614907.323185
2022-02-20,,168137035.9,34124387217.28521,,101769663002.692,,515819387.4728908,397430112.5988438,1067676782.3466228,,1167238968.4555986,288686754.293162
2022-02-21,,168137035.9,34124387217.28521,,101767208987.47882,,516019535.7644778,397453747.18354976,1067858605.8842182,,1167619494.9830916,288760040.282344
2022-02-22,,168137035.9,34124387217.28521,,101763742179.96518,,516018949.10707146,397549388.1448325,1068045216.555406,,1167919788.640099,288829257.491191
2022-02-23,,168137035.9,34124387217.28521,,101760221217.9524,,516018345.4938827,397671203.6298522,1068135189.7988997,,1168238829.8995836,288902659.168686
2022-02-24,,168137035.9,34124387217.28521,,101757197681.40454,,516218464.94789714,397786251.53391993,1068319446.3910612,,1168564579.2877965,288976882.657096
2022-02-25,,168137035.9,34143444450.36653,,101752460849.567,,516217908.1268756,397876256.9154014,1068410267.8687238,,1168898571.92598,289051282.372145
2022-02-26,,168137035.9,34143444450.36653,,101747779881.69342,,516217290.9375758,397986257.669564,1068591962.2673134,,1169219746.2895873,289125139.187421
2022-02-27,,168137035.9,34143444450.36653,,101744624448.78018,,516417212.8508784,398101922.91628206,1068772132.0358752,,1169549650.6731296,289201191.760009
2022-02-28,,168137035.9,34143444450.36653,,101740576241.53648,,516416621.0781475,398208732.265717,1068861708.712631,,1169874477.8661206,289276505.397672
2022-03-01,,168137035.9,34143444450.36653,,101737290270.5679,,516416043.2946008,398341494.09329706,1069041839.8044622,,1170185852.0618365,289350776.65146
2022-03-02,,168137035.9,34162713384.25524,,101734245153.34483,,516615902.0425213,398429933.2812572,1069133501.7903425,,1170504875.1761534,289426539.008465
2022-03-03,,168137035.9,34162713384.25524,,101731570393.90794,,516615308.2332358,398504001.8211578,1069315554.8020571,,1170824816.0890615,289502016.614957
2022-03-04,,168137035.9,34162713384.25524,,101729340861.9606,,516614704.0032489,398765730.1375846,1069497956.3809584,,1171153284.4966705,289576997.932822
2022-03-05,,168137035.9,34162713384.25524,,101727509311.33649,,516814445.9129428,398895783.0218434,1069589148.8392708,,1171470875.6347296,289653719.990772
2022-03-06,,168137035.9,34162713384.25524,,101725835552.00758,,516813827.61353314,399001221.1993609,1069772268.8153036,,1171791245.523932,289728743.776396
2022-03-07,,168137035.9,34182105422.48587,,101723760865.96458,,516813250.3136551,399095429.73277897,1069863562.4425222,,1172114402.5785904,289802819.471436
2022-03-08,,168137035.9,34182105422.48587,,101721934634.14244,,517012880.0880412,399210611.9057933,1070046536.3371226,,1172175682.5597172,289878388.981803
2022-03-09,,168137035.9,34182105422.48587,,101720222990.92482,,517012289.9581268,399317371.8607738,1070231776.947852,,1172488584.0688765,289953877.602414
2022-03-10,,168137035.9,34182105422.48587,,101718787571.53352,,517011763.93693656,399417234.8045829,1070324112.4470342,,1172809153.7257814,290028072.265709
2022-03-11,,168137035.9,34182105422.48587,,101717644494.25256,,517211336.2469208,399523271.9184738,1070508194.9426352,,1173138690.734365,290103206.670128
2022-03-12,,168137035.9,34201243285.46057,,101716598474.1869,,517210692.3404057,399625866.8773217,1070599342.9616396,,1173405735.976261,290179025.536393
2022-03-13,,168137035.9,34201243285.46057,,101716045167.88974,,517210055.5633773,399707688.8415491,1070783754.5387188,,1173779375.3874292,290254598.641823
2022-03-14,,168137035.9,34201243285.46057,,101714720210.8952,,517409474.3897455,399806903.729455,1070875550.1592196,,1174091214.7657304,290330960.009753
2022-03-15,,168137035.9,34201243285.46057,,101713412706.73589,,517408862.9114978,399891655.1909131,1071065904.8731848,,1174411694.2115235,290407021.568497
2022-03-16,,168137035.9,34201243285.46057,,101712228639.9038,,517408218.0446346,399991584.49381465,1071156825.931796,,1174746591.9241378,290482791.385035
2022-03-17,,168137035.9,34220542616.811584,,101711086415.5193,,517607474.6093737,400111336.5189419,1071349954.0116092,,1175066562.4439285,290559670.762836
2022-03-18,,168137035.9,34220542616.811584,,101709822243.73756,,517606798.65991485,400343492.7374792,1071448413.0644356,,1175397010.3018534,290630745.652148
2022-03-19,,168137035.9,34220542616.811584,,101708754427.54684,,517805972.8745562,400338202.2333935,1071640870.3795456,,1175708509.0727952,290714777.845891
2022-03-20,,168137035.9,34220542616.811584,,101708116440.0872,,517805322.9198564,400331306.64987934,1071737542.990794,,1176028160.582313,290786452.224032
2022-03-21,,168137035.9,34220542616.811584,,101706867701.3733,,517804682.86809766,400618195.6637222,1071932365.2547802,,1176353680.5946867,290870491.441618
2022-03-22,,168137035.9,34239675266.8954,,101705363128.96349,,518003757.11987895,400713807.032138,1072026980.5492526,,1176675857.1289003,290948800.547392
2022-03-23,,168137035.9,34239675266.8954,,101704021054.93729,,518003082.5266391,400704040.342426,1072218320.5163409,,1177103363.315116,291020546.276441
2022-03-24,,168137035.9,34239675266.8954,,101702391242.60324,,518002435.0274143,400699303.7616708,1072405223.1485336,,1177314457.8799796,291100341.820502
2022-03-25,,168137035.9,34239675266.8954,,101700621480.7821,,518201416.8458895,400701050.4051203,1072499565.5767344,,1177642426.6865485,291183484.788571
