date,ETH,BNB,ADA,SUI,TRX,APT,SOL,AVAX,NEAR,TIA,DOT,ATOM
2022-01-01,446655330042.0,88404805267.0,43641923978.0,,7747109994.0,,54656202272.0,27567532462.0,9039063777.0,,30315137635.0,10352915613.0
2022-01-02,454977736394.0,89330104090.0,43906518622.0,,7913824014.0,,54500603295.0,27632170472.0,8664308965.0,,31977742208.0,10011034403.0
2022-01-03,444508714772.0,86261016357.0,42536938743.0,,7842224715.0,,52411237941.0,26462323480.0,9529714105.0,,32135290082.0,10895188821.0
2022-01-04,454574318763.0,86116119395.0,42361773517.0,,7820742053.0,,52272480718.0,25697775175.0,9910727527.0,,31537656136.0,12275004299.0
2022-01-05,456149081732.0,86368024384.0,42222103708.0,,7892813430.0,,52271586167.0,24798518866.0,10268025330.0,,32440443463.0,11014987541.0
2022-01-06,408303675326.0,80025551076.0,40898107302.0,,7257586407.0,,46897553820.0,23267239098.0,9563031731.0,,28856664072.0,11303979160.0
2022-01-07,382935406513.0,75768075017.0,39147730928.0,,6974401226.0,,43282249750.0,21397821594.0,9303755272.0,,27174798250.0,11510366334.0
2022-01-08,371199163152.0,73013343312.0,38509529683.0,,6770384101.0,,45686751395.0,20598618649.0,8625746999.0,,26001904380.0,10481392282.0
2022-01-09,380365284760.0,74308475424.0,38034934636.0,,6788884989.0,,44341308298.0,22151584547.0,8366714458.0,,26798766041.0,10192220301.0
2022-01-10,367553652538.0,71407010281.0,36483560257.0,,6460791582.0,,42236010660.0,20681163431.0,9180178402.0,,25431245348.0,10674260462.0
2022-01-11,385435835440.0,77482187163.0,38093244222.0,,6607899222.0,,43932924946.0,21780733125.0,10951853451.0,,27423701569.0,11174645324.0
2022-01-12,401836994119.0,81897031002.0,41597733095.0,,6920841302.0,,47407197437.0,23108164945.0,10726739955.0,,29386916906.0,11827473749.0
2022-01-13,390869276150.0,80656534085.0,40191490876.0,,6811551484.0,,46625057675.0,22479826832.0,12021058252.0,,28225883110.0,11185764535.0
2022-01-14,395217545032.0,82142148250.0,41234956604.0,,6955459569.0,,46332737905.0,22102559330.0,12215978001.0,,29385154695.0,11270511370.0
2022-01-15,397385422974.0,83234004471.0,41923267864.0,,7003725409.0,,46491696101.0,22750035925.0,11858772402.0,,29965785908.0,11436729760.0
2022-01-16,398772230359.0,84217026908.0,45039987649.0,,7107279316.0,,46268812369.0,22686260987.0,12566384042.0,,29736115739.0,12161054415.0
2022-01-17,377580191536.0,79268124713.0,48913803746.0,,7143764102.0,,43419760557.0,21043381636.0,10834381258.0,,27260027263.0,11111811855.0
2022-01-18,376583881268.0,78856092983.0,47226636368.0,,7000879885.0,,44064380914.0,21036464343.0,10904440815.0,,27053618379.0,11111271021.0
2022-01-19,371561488621.0,78477021804.0,42836053186.0,,7025979037.0,,42592491724.0,20345231075.0,10079573625.0,,25922574381.0,10473869554.0
2022-01-20,368264806591.0,75673912896.0,41678908924.0,,7051919813.0,,41664308545.0,19932524326.0,9791417444.0,,25407304383.0,11180673636.0
2022-01-21,309691702262.0,65488756801.0,36189205650.0,,6148862348.0,,35484975516.0,16179171179.0,7812619443.0,,21361175286.0,9611108838.0
2022-01-22,290643121542.0,60935340312.0,34940327526.0,,5827562711.0,,30134056653.0,14754634370.0,7256066154.0,,19966712858.0,8531079215.0
2022-01-23,290027155553.0,61922753571.0,34412941030.0,,5736661942.0,,30149595784.0,15087622449.0,6862772477.0,,19433828825.0,9415658368.0
2022-01-24,291020903727.0,62378711474.0,34510684245.0,,5594756605.0,,29211602359.0,15335319172.0,6601542595.0,,19422724849.0,10178678910.0
2022-01-25,289494612186.0,63894740243.0,33138312110.0,,5664549509.0,,29350666806.0,16523101980.0,7346198387.0,,19903226130.0,10235220103.0
2022-01-26,308992414204.0,65550718605.0,36173565260.0,,5827072284.0,,31132758445.0,17125763898.0,7471411371.0,,20478531477.0,9781649607.0
2022-01-27,280971883855.0,62115745159.0,33200443542.0,,5654767513.0,,27247766851.0,15321217870.0,6277389511.0,,19089717246.0,8408216093.0
2022-01-28,303298968681.0,64594311650.0,33674452632.0,,5865185699.0,,29016323283.0,16372941648.0,6706461171.0,,19796714935.0,8464586046.0
2022-01-29,311639318791.0,65117077650.0,34124993145.0,,6082711499.0,,30188934778.0,17664847467.0,6917602218.0,,20259002981.0,8318740867.0
2022-01-30,306755812272.0,63194203103.0,33330912288.0,,5973221517.0,,29247850797.0,16649463196.0,6529894348.0,,19480446001.0,7734455491.0
2022-01-31,320361538396.0,63770217707.0,33690178510.0,,6000652219.0,,31385525360.0,17069378542.0,6900043391.0,,21020323606.0,8120746717.0
2022-02-01,334285448927.0,65111835127.0,34727856275.0,,6149698196.0,,35116083373.0,17767636379.0,7090402051.0,,21408547315.0,8417945701.0
2022-02-02,318764162966.0,62266265172.0,33230814189.0,,6053188142.0,,31706983199.0,16880551893.0,7107948329.0,,20448434717.0,7639529352.0
2022-02-03,316650021499.0,62320871654.0,33934338233.0,,6063773953.0,,31706354173.0,16769912822.0,6847975902.0,,20281804416.0,8509136218.0
2022-02-04,352070843832.0,66407595707.0,35576357269.0,,6488454387.0,,34773270576.0,18595524980.0,7960757414.0,,21682334180.0,8830913517.0
2022-02-05,362662576276.0,69677144281.0,36229374551.0,,6638063190.0,,36128812495.0,18973404616.0,8184992396.0,,23176245676.0,8906908215.0
2022-02-06,358793327228.0,69447458050.0,36265376324.0,,6690302437.0,,35832903995.0,18675640112.0,8257559519.0,,22956302144.0,8787413647.0
2022-02-07,376527680368.0,73058561516.0,38151924906.0,,6982349258.0,,37377026539.0,20418755503.0,8603953471.0,,24212711379.0,9103584709.0
2022-02-08,372454152966.0,68961432831.0,37640709065.0,,6926318541.0,,35945267216.0,21093211830.0,8056483596.0,,23530672806.0,8774815196.0
2022-02-09,387571929792.0,71553261585.0,38695048353.0,,7088118774.0,,36465670328.0,22133276291.0,8234443370.0,,23924230056.0,8877209257.0
2022-02-10,373248917708.0,70259116568.0,37320267294.0,,7060459949.0,,34361766608.0,22652514043.0,7608961174.0,,22636263519.0,8493377278.0
2022-02-11,350592633326.0,67151357087.0,35088499914.0,,6540426702.0,,30906201747.0,20181762618.0,6841212498.0,,20600205231.0,7941371852.0
2022-02-12,345307529877.0,67268307823.0,33808561025.0,,6433835196.0,,30367612814.0,19857849328.0,6744612186.0,,20351807394.0,7790619876.0
2022-02-13,344992538049.0,67158584635.0,33514378775.0,,6555897277.0,,29647741362.0,19326096514.0,6614304696.0,,20327378982.0,7632297389.0
2022-02-14,349728206330.0,67468120109.0,33454978146.0,,6574701474.0,,30618347787.0,20012687917.0,6609092829.0,,20195867712.0,7790526980.0
2022-02-15,371361625857.0,71956667359.0,35034374568.0,,6751551747.0,,32383800047.0,22071849489.0,7157036001.0,,21479914534.0,8254213154.0
2022-02-16,375099370468.0,71914662675.0,34780457230.0,,6761878209.0,,32620779805.0,23332148265.0,7157563546.0,,21546501895.0,8226868385.0
2022-02-17,346098709678.0,68060282298.0,32923437940.0,,6390836429.0,,30039285295.0,21885018652.0,6773138250.0,,19747471309.0,8238956296.0
2022-02-18,334111818685.0,67075409290.0,32111314873.0,,6432289096.0,,28901689972.0,20666521906.0,6560395239.0,,19401593253.0,7798874463.0
2022-02-19,328595416349.0,66961802089.0,31721977399.0,,6432834341.0,,28823678206.0,20532908133.0,6315374156.0,,19188564048.0,7653356872.0
2022-02-20,312963578383.0,64102802020.0,30121534465.0,,6328433355.0,,29364770705.0,19035322975.0,5959737204.0,,18385258539.0,7612398480.0
2022-02-21,310017779937.0,60867934765.0,28491669944.0,,6169191730.0,,27222982424.0,17750105036.0,5625476174.0,,17673836065.0,7173656364.0
2022-02-22,313025774043.0,62612174275.0,28210009520.0,,6370991040.0,,27379619938.0,17873295996.0,5564694824.0,,17766855338.0,7074391405.0
2022-02-23,314689335833.0,62225070460.0,28602774540.0,,6303838470.0,,27735511208.0,18695207506.0,5609909015.0,,17644473878.0,7551565335.0
2022-02-24,314725018313.0,60840031480.0,27701392586.0,,6186365424.0,,28639715533.0,18706047634.0,5442292623.0,,17549999195.0,7158012943.0
2022-02-25,323881435848.0,62039617197.0,28246033831.0,,5936448742.0,,29245640365.0,19203157873.0,5621224675.0,,18035528397.0,7908370833.0
2022-02-26,338294880075.0,63242534474.0,28950575731.0,,6063957607.0,,29310414281.0,20739476513.0,5930701582.0,,19920274967.0,8670013813.0
2022-02-27,313601496866.0,61024594499.0,27319253666.0,,5923470261.0,,27363495162.0,18462280355.0,5452526700.0,,19042225002.0,7897580485.0
2022-02-28,339364865870.0,65211898664.0,30019273973.0,,6138523232.0,,31411373778.0,20168983550.0,5916657883.0,,19765202061.0,8657451979.0
2022-03-01,353901486548.0,68208148465.0,30727570473.0,,6272443927.0,,31192563773.0,21126466344.0,7367657758.0,,20460983442.0,8841131450.0
2022-03-02,356544884381.0,69071767850.0,30448472099.0,,6303287512.0,,32319551430.0,20802801689.0,7272261423.0,,20490860734.0,9383774200.0
2022-03-03,338895268474.0,67593171411.0,28935886325.0,,6076639224.0,,30720206706.0,19514815627.0,7146515753.0,,19654877442.0,9826526656.0
2022-03-04,313380174588.0,63708622996.0,27049992925.0,,5919528509.0,,28536699766.0,20455623245.0,6844425208.0,,18299636151.0,8974988487.0
2022-03-05,318517794949.0,64517231046.0,27737625148.0,,6134373269.0,,28646012834.0,20401093245.0,6689966327.0,,18866321790.0,8997330085.0
2022-03-06,316173126543.0,64164837311.0,27085412918.0,,6088648729.0,,27582269437.0,19697229688.0,6806616937.0,,19164388120.0,8311111909.0
2022-03-07,299143511733.0,64333839640.0,25719316714.0,,5965005573.0,,26263153621.0,19152239283.0,6275393381.0,,17802867492.0,8303094531.0
2022-03-08,307564720550.0,63953636958.0,25474458102.0,,6135840471.0,,26046359648.0,19372986692.0,6224637838.0,,18408474925.0,8031718557.0
2022-03-09,325193868564.0,65957239021.0,27078876285.0,,6175431826.0,,27877307225.0,20483057742.0,7393197235.0,,19332324005.0,8768657370.0
2022-03-10,312217983884.0,62236691562.0,25878926109.0,,6077151104.0,,26399289438.0,19593241958.0,7193981122.0,,18526269679.0,8140413845.0
2022-03-11,308577812712.0,62702123781.0,25504002498.0,,6148132583.0,,26251940399.0,19070965197.0,6693976854.0,,19496283883.0,8034110993.0
2022-03-12,310496555500.0,63086709793.0,25506322197.0,,6074449099.0,,26186205663.0,19019687285.0,6685951602.0,,19932642195.0,7973510239.0
2022-03-13,307790451921.0,62404951694.0,25770592253.0,,6089018090.0,,25606901835.0,18607364641.0,6526433486.0,,19583941666.0,7783596129.0
2022-03-14,308439097923.0,61571804440.0,25458540704.0,,6100558919.0,,26088217739.0,17944939763.0,6444990550.0,,19136778548.0,7741303426.0
2022-03-15,315597437866.0,62642146362.0,25796303066.0,,6155427035.0,,27104720894.0,18859562700.0,6682726614.0,,19552927317.0,7932291780.0
2022-03-16,333204590005.0,64769916794.0,26331888060.0,,6207998440.0,,27984951681.0,19563622731.0,7010504943.0,,20882474608.0,8412317100.0
